run_id	Step	root_mean_squared_log_error
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	43	1.8203771759652985
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	44	1.820322262298193
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	45	1.8146174542281677
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	46	1.8136804159292965
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	47	1.8193737375580068
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	48	1.822421766928348
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	49	1.8143115332877322
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	50	1.8217494626482345
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	51	1.818599504362733
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	52	1.825647398887789
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	53	1.8183235092168595
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	54	1.819491847417447
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	55	1.8223228271550778
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	56	1.8197470390154489
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	57	1.8226159088613538
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	58	1.8154963118400278
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	59	1.8183885814304717
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	60	1.822136583946407
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	61	1.8209306366391007
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	62	1.8149297758899103
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	63	1.823480311749321
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	64	1.8217375469960195
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	65	1.8192121515786694
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	66	1.8189479120244219
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	67	1.8222050899475637
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	68	1.822243528751688
